age,months_as_customer,policy_annual_premium,umbrella_limit,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,claim_ratio,avg_claim_per_vehicle,injury_ratio,property_ratio,vehicle_ratio,high_claim_flag,no_witness_high_claim,incident_type,incident_severity,policy_state,insured_sex,collision_type,nlp_fraud_score,fraud_label
37,160,1374.22,0,19,1,1,0,72930,6630,13260,53040,53.03151495760678,36465.0,0.09090784440087206,0.18181568880174412,0.7272627552069765,1,1,2,2,2,0,3,0.1199742857615153,0
39,196,1475.73,0,8,3,2,0,60400,6040,6040,48320,40.90118031055101,15100.0,0.09999834439827156,0.09999834439827156,0.7999867551861725,1,1,0,0,1,0,3,0.1285283970832825,0
62,460,1187.96,4000000,20,3,1,0,47160,0,5240,41920,39.66491723859507,11790.0,0.0,0.11110875511545557,0.8888700409236445,1,1,0,1,1,1,2,0.1285283970832825,0
41,217,875.15,0,15,3,1,2,37840,0,4730,33110,43.18895166352794,9460.0,0.0,0.12499669670463254,0.8749768769324278,1,0,0,2,0,0,3,0.1199742857615153,0
55,370,972.18,0,20,3,0,0,71520,17880,5960,47680,73.49102940874248,17880.0,0.24999650452314703,0.08333216817438235,0.6666573453950588,1,1,0,0,0,1,2,0.4616602198282877,1
55,413,1268.79,0,15,1,2,2,98160,8180,16360,73620,77.30412115389159,49080.0,0.08333248438789335,0.1666649687757867,0.7499923594910403,1,0,2,2,1,1,1,0.4040630399613154,1
40,237,883.31,0,6,1,1,3,77880,7080,14160,56640,88.06866370390475,38940.0,0.09090792362707208,0.18181584725414415,0.7272633890165766,1,0,2,1,1,1,2,0.1363528675630868,0
35,8,1266.92,0,16,3,1,3,71500,16500,11000,44000,56.39157044608492,17875.0,0.2307660032726815,0.15384400218178768,0.6153760087271507,1,0,0,0,2,1,2,0.4040630399613154,1
43,257,1322.1,0,4,1,1,3,9020,1640,820,6560,6.8173229536694135,4510.0,0.1817980268262942,0.0908990134131471,0.7271921073051768,1,0,1,1,1,1,0,0.0873722219467163,0
34,202,848.07,3000000,5,1,2,1,5720,1040,520,4160,6.736782597430129,2860.0,0.18178640097884985,0.09089320048942492,0.7271456039153994,1,0,3,1,1,1,0,0.3701210082204719,1
40,224,1291.7,0,21,1,1,0,69840,7760,15520,46560,54.02645625435136,34920.0,0.11110952019587349,0.22221904039174697,0.6666571211752409,1,1,2,1,2,0,3,0.1199742857615153,0
45,241,1104.5,0,5,1,2,2,91650,14100,14100,63450,82.90366350067842,45825.0,0.15384447523758607,0.15384447523758607,0.6923001385691373,1,0,2,1,0,0,2,0.1285283970832825,0
25,64,954.16,0,22,4,0,0,75600,12600,12600,50400,79.1490430922568,15120.0,0.16666446211028954,0.16666446211028954,0.6666578484411582,1,1,0,0,0,1,3,0.1363528675630868,0
37,166,1337.28,8000000,10,3,2,2,67140,7460,7460,52220,50.16887347939146,16785.0,0.1111094562190018,0.1111094562190018,0.7777661935330126,1,0,0,0,0,1,3,0.4616602198282877,1
35,155,1088.34,0,16,3,2,3,29790,3310,3310,23170,27.34683386270586,7447.5,0.11110738142391997,0.11110738142391997,0.7777516699674398,1,0,0,2,0,0,1,0.1285283970832825,0
30,114,1558.29,0,1,3,1,2,77110,14020,14020,49070,49.4519941768369,19277.5,0.18181582394210943,0.18181582394210943,0.636355383797383,1,0,0,0,0,1,1,0.1363528675630868,0
37,149,1415.68,0,17,1,0,1,64800,10800,5400,48600,45.7407459694497,32400.0,0.16666409468989676,0.08333204734494838,0.7499884261045354,1,0,2,2,0,1,3,0.1363528675630868,0
33,147,1334.15,6000000,15,1,2,0,53100,10620,5310,37170,39.77081226828446,26550.0,0.1999962335925877,0.09999811679629385,0.699986817574057,1,1,2,0,2,1,1,0.4616602198282877,1
28,62,988.45,0,3,1,1,1,60200,6020,6020,48160,60.841881853555,30100.0,0.09999833889802495,0.09999833889802495,0.7999867111841996,1,0,2,2,0,0,2,0.5597630786895753,1
49,289,1222.48,0,16,1,1,1,5330,1230,820,3280,4.356425932585739,2665.0,0.23072594259988746,0.15381729506659164,0.6152691802663666,0,0,1,1,0,0,0,0.0873722219467163,0
54,431,1155.55,0,4,3,2,0,62300,12460,6230,43610,53.86710475119969,15575.0,0.19999678977865523,0.09999839488932762,0.6999887642252933,1,1,0,0,1,0,2,0.1199742857615153,0
37,199,1262.08,0,4,1,0,3,60170,10940,10940,38290,47.637520980460465,30085.0,0.18181516012697146,0.18181516012697146,0.6363530604444001,1,0,2,0,1,1,1,0.4616602198282877,1
26,79,1451.62,0,19,1,2,2,40000,8000,4000,28000,27.536451377510982,20000.0,0.19999500012499688,0.09999750006249844,0.6999825004374891,1,0,2,1,0,1,2,0.1363528675630868,0
34,116,1737.66,0,1,1,1,1,97080,16180,16180,64720,55.83610366604166,48540.0,0.1666649498872076,0.1666649498872076,0.6666597995488304,1,0,2,0,1,1,3,0.4040630399613154,1
23,37,1475.93,0,17,3,1,0,51660,5740,5740,40180,34.97796104080762,12915.0,0.11110896033758541,0.11110896033758541,0.7777627223630978,1,1,0,1,0,0,3,0.1199742857615153,0
30,106,538.17,0,23,1,2,2,51120,5680,5680,39760,94.81239683216796,25560.0,0.11110893761859118,0.11110893761859118,0.7777625633301383,1,0,2,2,2,0,2,0.1285283970832825,0
44,269,1081.08,0,14,1,0,2,56400,11280,11280,33840,52.12183942037558,28200.0,0.1999964539635822,0.1999964539635822,0.5999893618907466,1,0,2,1,0,1,1,0.1199742857615153,0
40,265,1454.43,0,17,3,2,3,55120,6890,0,48230,37.87196910878572,13780.0,0.12499773226175143,0.0,0.8749841258322599,1,0,0,2,0,0,2,0.1363528675630868,0
33,163,1240.47,0,11,3,1,1,77110,0,14020,63090,62.111851273087545,19277.5,0.0,0.18181582394210943,0.8181712077394924,1,0,0,2,1,0,2,0.1285283970832825,0
47,355,1273.7,4000000,19,3,2,1,62800,6280,6280,50240,49.266494077037734,15700.0,0.0999984076686677,0.0999984076686677,0.7999872613493416,1,0,0,0,2,1,1,0.5597630786895753,1
34,175,1123.87,8000000,5,1,2,0,7290,810,810,5670,6.4807488865380005,3645.0,0.11109587162254835,0.11109587162254835,0.7776711013578385,1,1,3,3,1,0,0,0.1099832439422607,0
35,192,1245.89,0,19,1,0,0,76600,15320,7660,53620,61.43284491815637,38300.0,0.19999738906802783,0.09999869453401392,0.6999908617380974,1,1,2,2,0,0,2,0.1199742857615153,0
59,430,1326.62,7000000,19,3,0,3,81800,16360,8180,57260,61.61401605881201,20450.0,0.1999975550421144,0.0999987775210572,0.6999914426474004,1,0,0,1,2,1,1,0.1199742857615153,0
27,91,1073.83,0,4,1,1,2,7260,1320,660,5280,6.754556534521739,3630.0,0.18179314144057293,0.09089657072028647,0.7271725657622917,1,0,3,3,0,0,0,0.1099832439422607,0
39,217,1530.52,0,8,1,2,1,4300,430,430,3440,2.8076681989134977,2150.0,0.09997674959311788,0.09997674959311788,0.799813996744943,0,0,3,1,1,1,0,0.0993852642810706,0
40,223,1201.41,0,7,3,1,0,70510,12820,12820,44870,58.640563534900735,17627.5,0.1818156032392109,0.1818156032392109,0.6363546113372381,1,1,0,0,1,0,3,0.1199742857615153,0
39,195,1393.57,0,5,1,0,1,2640,480,480,1680,1.8930566411151826,1320.0,0.1817493373722075,0.1817493373722075,0.6361226808027263,0,0,1,1,2,1,0,0.1335860877134362,0
26,22,1276.57,0,3,1,1,2,78900,15780,7890,55230,61.75786845339199,39450.0,0.19999746517788114,0.09999873258894057,0.699991128122584,1,0,2,1,2,1,2,0.1285283970832825,0
56,439,1082.49,0,12,3,2,3,56430,0,6270,50160,52.08169895430507,14107.5,0.0,0.11110914213818646,0.8888731371054917,1,0,0,0,1,0,1,0.1363528675630868,0
32,94,1414.74,0,19,1,1,3,2400,300,300,1800,1.6952265246443556,1200.0,0.12494793835901707,0.12494793835901707,0.7496876301541024,0,0,1,1,1,0,0,0.0873722219467163,0
39,11,1470.06,0,22,1,0,1,65790,7310,7310,51170,44.72285290878686,32895.0,0.11110942226140354,0.11110942226140354,0.7777659558298248,1,0,2,2,0,1,1,0.1199742857615153,0
36,151,870.63,0,12,3,1,1,62920,11440,5720,45760,72.18659293507567,15730.0,0.18181529219179607,0.09090764609589803,0.7272611687671843,1,0,0,1,2,0,3,0.1199742857615153,0
34,154,795.23,0,15,3,2,1,69480,15440,0,54040,87.26121849214422,17370.0,0.22221902390581597,0.0,0.7777665836703559,1,0,0,0,1,1,2,0.4040630399613154,1
44,245,1168.2,0,23,3,0,3,44280,7380,3690,33210,37.872049264454326,11070.0,0.16666290282513946,0.08333145141256973,0.7499830627131275,1,0,0,2,0,1,3,0.1285283970832825,0
32,119,993.51,0,12,1,0,3,56300,5630,11260,39410,56.610793254969785,28150.0,0.09999822383261399,0.19999644766522798,0.6999875668282979,1,0,2,1,0,1,3,0.1363528675630868,0
42,215,1848.81,0,20,3,2,2,68520,11420,5710,51390,37.041642114595554,17130.0,0.16666423432232455,0.08333211716116228,0.7499890544504605,1,0,0,0,2,1,1,0.4616602198282877,1
42,295,1641.73,5000000,16,3,0,0,59130,6570,6570,45990,35.994959609917636,14782.5,0.11110923204410546,0.11110923204410546,0.7777646243087383,1,1,0,2,2,1,2,0.4040630399613154,1
39,254,1362.87,0,6,3,2,2,82320,13720,6860,61740,60.35765872113912,20580.0,0.1666646420718893,0.08333232103594465,0.7499908893235019,1,0,0,1,1,0,1,0.4616602198282877,1
31,107,1239.22,7000000,12,1,0,1,89700,13800,13800,62100,72.32587766686555,44850.0,0.15384443874650228,0.15384443874650228,0.6922999743592602,1,0,2,1,1,0,3,0.4040630399613154,1
64,478,835.02,0,17,3,1,1,33930,0,3770,30160,40.5851534652281,8482.5,0.0,0.11110783649170375,0.88886269193363,1,0,0,1,2,0,3,0.1363528675630868,0
30,128,1061.33,0,8,1,0,3,68530,12460,6230,49840,64.50914499261059,34265.0,0.18181552873881893,0.09090776436940946,0.7272621149552757,1,0,2,0,2,1,1,0.1363528675630868,0
49,338,1279.08,0,13,1,0,1,4300,860,860,2580,3.3591650521842387,2150.0,0.19995349918623576,0.19995349918623576,0.5998604975587073,0,0,1,1,1,1,0,0.0873722219467163,0
42,271,1105.49,0,12,2,2,3,68310,12420,6210,49680,61.73575902177155,22770.0,0.181815520194405,0.0909077600972025,0.72726208077762,1,0,0,0,2,0,3,0.4040630399613154,1
41,222,1055.53,0,7,1,0,2,61290,6810,6810,47670,58.01065752983825,30645.0,0.11110929826565075,0.11110929826565075,0.7777650878595552,1,0,2,2,2,0,1,0.5597630786895753,1
41,199,895.83,0,10,1,1,2,30100,3010,0,27090,33.56265958988883,15050.0,0.09999667785123417,0.0,0.8999701006611076,1,0,2,1,2,0,2,0.1199742857615153,0
37,215,1632.93,0,7,3,2,0,57120,9520,4760,42840,34.95865795964331,14280.0,0.1666637488839481,0.08333187444197405,0.7499868699777665,1,1,0,1,1,0,2,0.1199742857615153,0
40,192,1405.99,0,18,3,1,0,42930,9540,4770,28620,30.511943937057122,10732.5,0.22221704595746664,0.11110852297873332,0.6666511378723999,1,1,0,1,0,0,3,0.1199742857615153,0
35,120,1425.54,0,22,3,2,0,51210,11380,5690,34140,35.898047022866514,12802.5,0.2222178828767257,0.11110894143836285,0.6666536486301771,1,1,0,2,2,0,1,0.1363528675630868,0
45,270,1038.09,0,18,3,1,1,89400,14900,7450,67050,86.03682067963315,22350.0,0.1666648024071319,0.08333240120356596,0.7499916108320936,1,0,0,1,2,0,1,0.1285283970832825,0
47,319,1307.11,0,22,3,0,2,59730,10860,10860,38010,45.661297597296866,14932.5,0.18181513786810868,0.18181513786810868,0.6363529825383804,1,0,0,2,1,1,1,0.1199742857615153,0
39,194,1489.24,6000000,15,1,2,2,8060,1240,1240,5580,5.408524801374275,4030.0,0.15382706860191042,0.15382706860191042,0.692221808708597,1,0,3,1,2,0,0,0.1099832439422607,0
38,227,976.67,0,16,1,1,2,72200,14440,7220,50540,73.84904927020365,36100.0,0.19999722995526378,0.09999861497763189,0.6999903048434232,1,0,2,0,2,0,2,0.4774945961345326,1
31,137,1340.43,0,6,3,1,2,50800,10160,10160,30480,37.87003421721595,12700.0,0.1999960630696246,0.1999960630696246,0.5999881892088739,1,0,0,1,2,1,3,0.1285283970832825,0
40,244,1267.81,5000000,10,1,2,1,6600,660,1320,4620,5.201724450469338,3300.0,0.09998485078018482,0.19996970156036964,0.6998939554612937,1,0,3,3,2,0,0,0.0993852642810706,0
29,78,1234.2,6000000,3,1,2,2,7500,750,1500,5250,6.071891191709844,3750.0,0.09998666844420744,0.19997333688841487,0.699906679109452,1,0,3,1,0,1,0,0.0993852642810706,0
35,200,1318.06,0,13,1,0,3,6490,1180,1180,4130,4.920170424393128,3245.0,0.1817901710060083,0.1817901710060083,0.6362655985210292,0,0,3,3,1,1,0,0.0993852642810706,0
48,284,769.95,0,16,2,2,3,60940,5540,11080,44320,79.04533367922693,20313.333333333332,0.0909075991532794,0.1818151983065588,0.7272607932262352,1,0,0,0,1,1,3,0.4616602198282877,1
41,275,1514.72,0,13,3,0,1,58300,5830,11660,40810,38.46356846911039,14575.0,0.09999828476355466,0.1999965695271093,0.6999879933448826,1,0,0,0,2,1,1,0.1285283970832825,0
34,153,873.64,4000000,9,3,2,1,68400,11400,11400,45600,78.20360376840758,17100.0,0.16666423005511616,0.16666423005511616,0.6666569202204646,1,0,0,1,0,0,1,0.1363528675630868,0
32,134,1612.43,0,2,1,2,1,64240,11680,11680,40880,39.815796160973825,32120.0,0.18181535156675643,0.18181535156675643,0.6363537304836475,1,0,2,2,0,0,3,0.1363528675630868,0
36,31,1318.24,9000000,9,1,0,1,4700,940,470,3290,3.5626572875291833,2350.0,0.1999574558604552,0.0999787279302276,0.6998510955115933,0,0,1,3,0,0,0,0.1335860877134362,0
25,41,1226.83,0,12,3,2,0,45120,0,5640,39480,36.747758240147256,11280.0,0.0,0.1249972296713282,0.8749806076992974,1,1,0,0,1,0,3,0.4040630399613154,1
29,127,1326.44,5000000,12,2,1,1,66950,10300,10300,46350,50.4354245766287,22316.666666666668,0.15384385595435468,0.15384385595435468,0.6922973517945961,1,0,0,2,2,0,1,0.1199742857615153,0
23,61,1136.83,4000000,14,1,0,3,98340,8940,17880,71520,86.42767372981905,49170.0,0.09090816648193531,0.18181633296387062,0.7272653318554825,1,0,2,0,0,0,3,0.4040630399613154,1
42,207,1322.78,0,9,1,0,1,5900,590,590,4720,4.456933931620058,2950.0,0.09998305371970852,0.09998305371970852,0.7998644297576681,0,0,1,3,0,1,0,0.0873722219467163,0
43,219,1483.25,0,3,3,1,1,70680,5890,11780,53010,47.6200101061142,17670.0,0.08333215432718835,0.1666643086543767,0.7499893889446951,1,0,0,0,1,0,1,0.1199742857615153,0
42,271,1515.3,0,21,3,1,0,93720,17040,8520,68160,61.80834927125239,23430.0,0.1818162418241376,0.0909081209120688,0.7272649672965504,1,1,0,2,0,0,2,0.1199742857615153,0
25,80,1075.18,5000000,5,1,2,0,6930,1260,630,5040,6.4394432158189145,3465.0,0.18179194921367767,0.09089597460683883,0.7271677968547107,1,1,3,1,0,0,0,0.1099832439422607,0
47,325,1690.27,0,11,1,0,3,72930,6630,6630,59670,43.121441283769,36465.0,0.09090784440087206,0.09090784440087206,0.8181705996078485,1,0,2,0,1,0,3,0.4040630399613154,1
25,29,1352.83,0,4,4,1,2,64890,7210,7210,50470,47.93068553658879,12978.0,0.1111093988380515,0.1111093988380515,0.7777657918663605,1,0,0,1,0,1,2,0.5597630786895753,1
48,295,1148.73,0,6,1,1,2,5400,900,900,3600,4.696754890278587,2700.0,0.1666358081836697,0.1666358081836697,0.6665432327346787,0,0,1,3,2,0,0,0.1335860877134362,0
42,239,969.5,0,10,1,0,0,5600,700,700,4200,5.770221535291087,2800.0,0.1249776825566863,0.1249776825566863,0.7498660953401178,1,1,3,3,0,1,0,0.1099832439422607,0
41,269,1463.82,0,23,1,0,0,79300,15860,15860,47580,54.13634439726383,39650.0,0.1999974779637079,0.1999974779637079,0.5999924338911237,1,1,2,1,1,0,2,0.1285283970832825,0
27,80,1474.17,0,13,1,1,0,52800,10560,5280,36960,35.79248493393982,26400.0,0.19999621219295088,0.09999810609647544,0.6999867426753281,1,1,2,0,0,0,3,0.1363528675630868,0
41,279,1497.35,0,16,3,2,3,28800,0,3600,25200,19.221143257583343,7200.0,0.0,0.12499565987292108,0.8749696191104476,1,0,0,1,0,0,1,0.1285283970832825,0
33,165,1427.14,0,3,1,1,1,2970,330,330,2310,2.079628047670396,1485.0,0.11107371255469539,0.11107371255469539,0.7775159878828677,0,0,1,1,2,0,0,0.1335860877134362,0
54,350,1495.1,0,15,3,0,0,93480,15580,7790,70110,62.48245438139162,23370.0,0.16666488377317315,0.08333244188658658,0.7499919769792792,1,1,0,2,2,1,3,0.1363528675630868,0
49,295,1141.62,0,4,1,1,3,4320,480,480,3360,3.7807845127864037,2160.0,0.111085396898866,0.111085396898866,0.777597778292062,0,0,3,1,0,1,0,0.1099832439422607,0
61,464,1125.37,0,6,3,0,2,79800,6650,19950,53200,70.84705736125785,19950.0,0.08333228906905929,0.24999686720717784,0.6666583125524743,1,0,0,0,2,0,2,0.4774945961345326,1
28,118,1207.36,0,22,2,1,0,74200,7420,14840,51940,61.40554139494853,24733.333333333332,0.09999865230926806,0.19999730461853613,0.6999905661648765,1,1,0,0,1,0,1,0.1199742857615153,0
47,298,1338.5,0,1,1,0,0,70590,10860,10860,48870,52.69876819708847,35295.0,0.15384397444433426,0.15384397444433426,0.6922978849995042,1,1,2,0,0,0,1,0.4774945961345326,1
31,87,1074.07,0,16,3,0,3,60940,5540,11080,44320,56.684680997516445,15235.0,0.0909075991532794,0.1818151983065588,0.7272607932262352,1,0,0,0,1,0,2,0.4774945961345326,1
42,261,1337.56,0,18,1,1,2,74700,7470,14940,52290,55.806239540999286,37350.0,0.09999866132983494,0.19999732265966988,0.6999906293088446,1,0,2,1,2,0,2,0.1285283970832825,0
60,453,1298.91,6000000,0,1,0,0,70000,14000,7000,49000,53.8498819149018,35000.0,0.1999971428979586,0.0999985714489793,0.6999900001428551,1,1,2,0,1,1,1,0.4040630399613154,1
41,210,1222.75,0,12,3,2,0,81070,14740,14740,51590,66.24719101123596,20267.5,0.18181593911509664,0.18181593911509664,0.6363557869028382,1,1,0,2,0,1,2,0.1199742857615153,0
32,168,1059.52,0,13,2,1,1,57720,14430,9620,33670,54.42613057745257,19240.0,0.2499956688207065,0.16666377921380435,0.5833232272483152,1,0,0,0,1,1,3,0.1285283970832825,0
51,390,1124.38,0,9,1,1,1,7080,1180,1180,4720,6.291208302973217,3540.0,0.16664312950148283,0.16664312950148283,0.6665725180059313,1,0,3,1,2,1,0,0.0993852642810706,0
46,258,1110.37,10000000,14,3,0,1,47700,4770,9540,33390,42.919999640083866,11925.0,0.09999790360789082,0.19999580721578164,0.6999853252552357,1,0,0,2,1,1,3,0.5597630786895753,1
31,107,1374.22,0,16,1,0,3,51260,9320,9320,32620,37.274036154215324,25630.0,0.18181463490762959,0.18181463490762959,0.6363512221767036,1,0,2,1,0,0,2,0.1199742857615153,0
41,225,1103.58,0,20,3,2,2,70400,6400,12800,51200,63.73463216788282,17600.0,0.09090779960511924,0.1818155992102385,0.727262396840954,1,0,0,0,2,1,3,0.4774945961345326,1
38,164,1269.76,0,4,1,1,3,90000,18000,9000,63000,70.82375901035601,45000.0,0.19999777780246886,0.09999888890123443,0.699992222308641,1,0,2,1,0,0,2,0.1199742857615153,0
39,245,964.79,8000000,7,3,0,1,72820,13240,6620,52960,75.39941395127305,18205.0,0.18181568503590997,0.09090784251795499,0.7272627401436399,1,0,0,1,2,0,2,0.1199742857615153,0
41,255,1167.3,4000000,22,1,2,0,69300,13860,13860,41580,59.316956261234274,34650.0,0.19999711403875847,0.19999711403875847,0.5999913421162754,1,1,2,1,0,1,3,0.1199742857615153,0
36,206,1625.45,4000000,11,1,2,1,76560,12760,12760,51040,47.07184358572351,38280.0,0.16666448975326864,0.16666448975326864,0.6666579590130746,1,0,2,0,0,0,1,0.5597630786895753,1
38,203,1394.43,0,7,1,0,1,55440,0,6160,49280,39.729689056419886,27720.0,0.0,0.11110910697858985,0.8888728558287188,1,0,2,0,0,0,1,0.4040630399613154,1
25,22,1053.24,0,0,4,1,0,77130,8570,17140,51420,73.16170890878738,15426.0,0.11110967056047504,0.22221934112095007,0.6666580233628502,1,1,0,2,2,0,1,0.1363528675630868,0
35,211,1040.75,0,1,1,1,1,42000,7000,7000,28000,40.316774658027356,21000.0,0.1666626985071784,0.1666626985071784,0.6666507940287136,1,0,2,2,0,0,2,0.1285283970832825,0
39,206,1302.4,6000000,12,3,2,3,36300,3300,9900,23100,27.8502378394967,9075.0,0.0909065865954106,0.2727197597862318,0.6363461061678741,1,0,0,2,1,1,2,0.1363528675630868,0
38,166,1588.55,0,8,1,0,0,40320,5760,5760,28800,25.365669529112015,20160.0,0.14285359986111457,0.14285359986111457,0.7142679993055728,1,1,2,2,0,1,3,0.1285283970832825,0
32,165,1399.26,0,9,1,2,0,3960,330,660,2970,2.8280462199877165,1980.0,0.08331229487503156,0.1666245897500631,0.749810653875284,0,0,1,1,1,0,0,0.0873722219467163,0
43,274,1352.31,0,22,1,0,3,63840,10640,10640,42560,47.173227124605596,31920.0,0.16666405601416018,0.16666405601416018,0.6666562240566407,1,0,2,0,2,1,1,0.4774945961345326,1
28,81,1139.0,6000000,0,3,1,2,44730,4970,4970,34790,39.23684210526316,11182.5,0.11110862712660124,0.11110862712660124,0.7777603898862087,1,0,0,0,0,0,1,0.4040630399613154,1
45,280,1397.67,0,0,3,1,2,84720,14120,14120,56480,60.57182895178991,21180.0,0.16666469942517204,0.16666469942517204,0.6666587977006881,1,0,0,1,1,1,1,0.1285283970832825,0
39,194,823.17,0,3,3,2,2,61500,6150,12300,43050,74.62052731839306,15375.0,0.09999837401017869,0.19999674802035738,0.6999886180712509,1,0,0,0,1,1,1,0.1285283970832825,0
27,112,965.13,0,21,3,0,1,51000,8500,8500,34000,52.78792709055717,12750.0,0.16666339875688713,0.16666339875688713,0.6666535950275485,1,0,0,0,2,0,1,0.1199742857615153,0
33,24,1922.84,0,0,1,2,1,46800,4680,9360,32760,24.326347305389223,23400.0,0.09999786329351937,0.19999572658703874,0.6999850430546356,1,0,2,2,0,0,3,0.1199742857615153,0
32,93,1624.82,0,16,1,1,1,78120,17360,8680,52080,48.04959958667011,39060.0,0.22221937763213476,0.11110968881606738,0.6666581328964043,1,0,2,1,2,1,3,0.1363528675630868,0
34,171,1277.25,0,14,1,1,2,69200,13840,6920,48440,54.136514766282026,34600.0,0.1999971098683545,0.09999855493417725,0.6999898845392407,1,0,2,0,1,0,2,0.4774945961345326,1
40,200,1439.34,0,9,1,0,0,3690,410,410,2870,2.5618951080994767,1845.0,0.11108100785694934,0.11108100785694934,0.7775670549986453,0,0,3,1,0,0,0,0.0993852642810706,0
28,120,1281.27,0,9,3,0,3,65500,6550,6550,52400,51.08128553268813,16375.0,0.09999847330575105,0.09999847330575105,0.7999877864460084,1,0,0,1,0,0,2,0.1285283970832825,0
46,325,1348.83,0,21,3,1,2,76120,13840,6920,55360,56.39228643606973,19030.0,0.181815793276494,0.090907896638247,0.727263173105976,1,0,0,1,0,0,2,0.1285283970832825,0
32,124,1198.15,0,19,3,0,2,73560,12260,12260,49040,61.34345161155818,18390.0,0.16666440097334184,0.16666440097334184,0.6666576038933674,1,0,0,2,0,0,1,0.1363528675630868,0
35,211,1221.22,0,2,1,0,1,52030,9460,4730,37840,42.570077400140725,26015.0,0.1818146873978974,0.0909073436989487,0.7272587495915896,1,0,2,2,2,1,2,0.1363528675630868,0
41,287,968.74,0,9,1,2,3,5170,470,940,3760,5.3313259224121925,2585.0,0.09089151034616129,0.18178302069232258,0.7271320827692903,1,0,3,3,0,1,0,0.0993852642810706,0
